query,cluster,type,n_chars,n_tokens,mean_tok_len,frac_latin,frac_digit,frac_vowel,max_char_run,dict_coverage,mean_edit_dist,oddness
дозатор,3,норма · 1 слово,7,1,7.0,0.0,0.0,0.42857142857142855,1,1.0,0.0,5.796794143779008
саморез,2,искажённое слово,7,1,7.0,0.0,0.0,0.42857142857142855,1,0.0,0.2857142857142857,5.53737478541689
зефир ручной работы,7,норма · фраза,19,3,5.666666666666667,0.0,0.0,0.4117647058823529,1,1.0,0.0,6.695828636343219
коврик банан,1,норма · 2 слова,12,2,5.5,0.0,0.0,0.36363636363636365,1,1.0,0.0,6.151659636931988
картошку,3,норма · 1 слово,8,1,8.0,0.0,0.0,0.375,1,1.0,0.0,6.01946019341397
мыло табак,1,норма · 2 слова,10,2,4.5,0.0,0.0,0.4444444444444444,1,1.0,0.0,6.231781931533105
чипсы хреном,1,норма · 2 слова,12,2,5.5,0.0,0.0,0.36363636363636365,1,1.0,0.0,6.246334976957269
курица,3,норма · 1 слово,6,1,6.0,0.0,0.0,0.5,1,1.0,0.0,5.676887598714795
мороженое фисташка,5,норма · длинные слова,18,2,8.5,0.0,0.0,0.47058823529411764,1,1.0,0.0,5.742422943415609
вода 6,8,запрос с числом,6,1,4.0,0.0,0.16666666666666666,0.5,1,1.0,0.0,5.194275587042186
пеленки одноразовые для детей,7,норма · фраза,29,4,6.5,0.0,0.0,0.46153846153846156,1,1.0,0.0,5.648929767348217
моти замороженный,4,норма · удвоенная буква,17,2,8.0,0.0,0.0,0.4375,2,1.0,0.0,5.258225911856073
стаканы в дорогу,1,норма · 2 слова,16,3,4.666666666666667,0.0,0.0,0.42857142857142855,1,1.0,0.0,6.2429485445402255
яиа,2,искажённое слово,3,1,3.0,0.0,0.0,1.0,1,0.0,0.3333333333333333,7.513525846767478
сыры,3,норма · 1 слово,4,1,4.0,0.0,0.0,0.5,1,1.0,0.0,5.331303920889484
экспо,2,искажённое слово,5,1,5.0,0.0,0.0,0.4,1,0.0,0.2,6.721075717152542
коврик для тренировки,7,норма · фраза,21,3,6.333333333333333,0.0,0.0,0.3684210526315789,1,1.0,0.0,5.900290147966965
одноразовые перечатки,5,норма · длинные слова,21,2,10.0,0.0,0.0,0.5,1,0.5,0.1111111111111111,5.714425177983253
фруктовое пюре,5,норма · длинные слова,14,2,6.5,0.0,0.0,0.46153846153846156,1,1.0,0.0,6.291050704262835
кваш,3,норма · 1 слово,4,1,4.0,0.0,0.0,0.25,1,1.0,0.0,6.867342132447459
sweet ok,11,латиница · удвоения,8,2,3.5,1.0,0.0,0.0,2,1.0,0.0,16.123358179532573
круассан самокат с ветчиной и сыром 115 г,7,норма · фраза,41,7,4.428571428571429,0.0,0.07317073170731707,0.3870967741935484,2,1.0,0.0,6.349689012324237
кофе большая упаковка,7,норма · фраза,21,3,6.333333333333333,0.0,0.0,0.47368421052631576,1,1.0,0.0,6.366016550110826
утка,3,норма · 1 слово,4,1,4.0,0.0,0.0,0.5,1,1.0,0.0,5.843296681664415
мишбон,2,искажённое слово,6,1,6.0,0.0,0.0,0.3333333333333333,1,0.0,0.5,7.322441874311086
овощная смесь,1,норма · 2 слова,13,2,6.0,0.0,0.0,0.4166666666666667,1,1.0,0.0,6.343983810223336
стрижка когтей,5,норма · длинные слова,14,2,6.5,0.0,0.0,0.3076923076923077,1,1.0,0.0,6.208452220380663
шоколад лесной,5,норма · длинные слова,14,2,6.5,0.0,0.0,0.38461538461538464,1,1.0,0.0,5.571294346841808
ту плетеная,1,норма · 2 слова,11,2,5.0,0.0,0.0,0.5,1,1.0,0.0,5.597149079466638
ветчина из индейки,7,норма · фраза,18,3,5.333333333333333,0.0,0.0,0.4375,1,1.0,0.0,6.110486599694137
перец остоый,9,фраза с искажением,12,2,5.5,0.0,0.0,0.45454545454545453,1,0.5,0.16666666666666666,6.73833013918416
нарезка,3,норма · 1 слово,7,1,7.0,0.0,0.0,0.42857142857142855,1,1.0,0.0,5.5020699999173175
кубики для буль,9,фраза с искажением,15,3,4.333333333333333,0.0,0.0,0.38461538461538464,1,0.6666666666666666,0.25,6.203728662246312
жижкдля туалета,9,фраза с искажением,15,2,7.0,0.0,0.0,0.42857142857142855,1,0.5,0.42857142857142855,6.99847168976713
греча,3,норма · 1 слово,5,1,5.0,0.0,0.0,0.4,1,1.0,0.0,5.81440024971153
хлеб цельно зеленый,7,норма · фраза,19,3,5.666666666666667,0.0,0.0,0.35294117647058826,1,1.0,0.0,5.999520722602906
мороп,2,искажённое слово,5,1,5.0,0.0,0.0,0.4,1,0.0,0.2,5.790494961912714
скелет,3,норма · 1 слово,6,1,6.0,0.0,0.0,0.3333333333333333,1,1.0,0.0,5.372744824648971
vian,0,латиница,4,1,4.0,1.0,0.0,0.0,1,1.0,0.0,16.123358179532573
kidd,11,латиница · удвоения,4,1,4.0,1.0,0.0,0.0,2,0.0,0.0,16.123358179532573
крыло,3,норма · 1 слово,5,1,5.0,0.0,0.0,0.4,1,1.0,0.0,5.881976948006681
молокр,2,искажённое слово,6,1,6.0,0.0,0.0,0.3333333333333333,1,0.0,0.16666666666666666,5.502522238811113
картина,3,норма · 1 слово,7,1,7.0,0.0,0.0,0.42857142857142855,1,1.0,0.0,5.043930105149505
"энергетик wk up, без сахара, малина и мята 0,45 л",7,норма · фраза,49,9,3.7777777777777777,0.11764705882352941,0.061224489795918366,0.4666666666666667,1,1.0,0.0,6.69949568413684
батончики клубника,5,норма · длинные слова,18,2,8.5,0.0,0.0,0.4117647058823529,1,1.0,0.0,5.860835432792413
блин с грибами,1,норма · 2 слова,14,3,4.0,0.0,0.0,0.3333333333333333,1,1.0,0.0,6.159586208075124
слевы,2,искажённое слово,5,1,5.0,0.0,0.0,0.4,1,0.0,0.2,5.44003429340304
dr,0,латиница,2,1,2.0,1.0,0.0,0.0,1,1.0,0.0,16.123358179532573
бансентон,2,искажённое слово,9,1,9.0,0.0,0.0,0.3333333333333333,1,0.0,0.4444444444444444,5.729675290623572
тесто для чебупели,7,норма · фраза,18,3,5.333333333333333,0.0,0.0,0.4375,1,1.0,0.0,5.875922701665762
dr ko,0,латиница,5,2,2.0,1.0,0.0,0.0,1,1.0,0.0,16.123358179532573
мыло,3,норма · 1 слово,4,1,4.0,0.0,0.0,0.5,1,1.0,0.0,6.165339627182643
пряники,3,норма · 1 слово,7,1,7.0,0.0,0.0,0.42857142857142855,1,1.0,0.0,5.646746796286317
для пицц,4,норма · удвоенная буква,8,2,3.5,0.0,0.0,0.2857142857142857,2,1.0,0.0,6.944061870274911
кондиционер,5,норма · длинные слова,11,1,11.0,0.0,0.0,0.45454545454545453,1,1.0,0.0,5.799457781825876
гель для посды,9,фраза с искажением,14,3,4.0,0.0,0.0,0.3333333333333333,1,0.6666666666666666,0.16666666666666666,6.599162017913624
вафли gr,1,норма · 2 слова,8,2,3.5,0.2857142857142857,0.0,0.4,1,1.0,0.0,6.149276081773489
основа для сока,1,норма · 2 слова,15,3,4.333333333333333,0.0,0.0,0.46153846153846156,1,1.0,0.0,5.389575470560366
йогурт чере,9,фраза с искажением,11,2,5.0,0.0,0.0,0.4,1,0.5,0.3333333333333333,6.399239668909158
камар,2,искажённое слово,5,1,5.0,0.0,0.0,0.4,1,0.0,0.2857142857142857,5.359363518900676
смесь для засолки рыбы,7,норма · фраза,22,4,4.75,0.0,0.0,0.3684210526315789,1,1.0,0.0,6.231453727028979
трубочки ж,1,норма · 2 слова,10,2,4.5,0.0,0.0,0.3333333333333333,1,1.0,0.0,6.791451005539893
кофе же cafe,1,норма · 2 слова,12,3,3.3333333333333335,0.4,0.0,0.5,1,1.0,0.0,5.465645936844444
ситниковское,5,норма · длинные слова,12,1,12.0,0.0,0.0,0.4166666666666667,1,1.0,0.0,5.3795085905652895
мусорные баки,1,норма · 2 слова,13,2,6.0,0.0,0.0,0.5,1,1.0,0.0,5.446019591596245
майская,3,норма · 1 слово,7,1,7.0,0.0,0.0,0.42857142857142855,1,1.0,0.0,5.488363397806043
пюре с котлеты,1,норма · 2 слова,14,3,4.0,0.0,0.0,0.4166666666666667,1,1.0,0.0,6.020381830057946
кетчуп остры,1,норма · 2 слова,12,2,5.5,0.0,0.0,0.36363636363636365,1,1.0,0.0,6.116972386759646
батон для се,1,норма · 2 слова,12,3,3.3333333333333335,0.0,0.0,0.4,1,1.0,0.0,5.508611133320159
корнишоны,5,норма · длинные слова,9,1,9.0,0.0,0.0,0.4444444444444444,1,1.0,0.0,5.534104980273909
маслины гриль,1,норма · 2 слова,13,2,6.0,0.0,0.0,0.3333333333333333,1,1.0,0.0,6.103111220776767
шпинат,3,норма · 1 слово,6,1,6.0,0.0,0.0,0.3333333333333333,1,1.0,0.0,6.147976337177364
марани,2,искажённое слово,6,1,6.0,0.0,0.0,0.5,1,0.0,0.2857142857142857,5.028557987737721
щетка для спины,1,норма · 2 слова,15,3,4.333333333333333,0.0,0.0,0.38461538461538464,1,1.0,0.0,5.979667294842829
отвар укропа,1,норма · 2 слова,12,2,5.5,0.0,0.0,0.45454545454545453,1,1.0,0.0,5.685072400054833
зонт,3,норма · 1 слово,4,1,4.0,0.0,0.0,0.25,1,1.0,0.0,6.060732455497452
айитон,2,искажённое слово,6,1,6.0,0.0,0.0,0.5,1,0.0,0.3333333333333333,7.153502376361494
скитл,2,искажённое слово,5,1,5.0,0.0,0.0,0.2,1,0.0,0.3333333333333333,5.684512168628331
наполеон имел,1,норма · 2 слова,13,2,6.0,0.0,0.0,0.5,1,1.0,0.0,5.92810050372636
мармелад кола,1,норма · 2 слова,13,2,6.0,0.0,0.0,0.4166666666666667,1,1.0,0.0,5.440234678358935
антипыпыль,2,искажённое слово,10,1,10.0,0.0,0.0,0.4,1,0.0,0.5,7.044216081581144
вареники йода,1,норма · 2 слова,13,2,6.0,0.0,0.0,0.5,1,1.0,0.0,5.484855515428953
ветчина из,1,норма · 2 слова,10,2,4.5,0.0,0.0,0.4444444444444444,1,1.0,0.0,6.366701923861295
клин бекон,1,норма · 2 слова,10,2,4.5,0.0,0.0,0.3333333333333333,1,1.0,0.0,6.326430679861307
ланге,2,искажённое слово,5,1,5.0,0.0,0.0,0.4,1,0.0,0.4,5.901932350296684
рико,3,норма · 1 слово,4,1,4.0,0.0,0.0,0.5,1,1.0,0.0,5.320134688455376
гранд п,1,норма · 2 слова,7,2,3.0,0.0,0.0,0.16666666666666666,1,1.0,0.0,7.116407495342086
подводка гибкая,5,норма · длинные слова,15,2,7.0,0.0,0.0,0.42857142857142855,1,1.0,0.0,6.075823439177851
рукою,3,норма · 1 слово,5,1,5.0,0.0,0.0,0.6,1,1.0,0.0,7.046650058916249
творошок,2,искажённое слово,8,1,8.0,0.0,0.0,0.375,1,0.0,0.125,5.790141880222717
детский гель,1,норма · 2 слова,12,2,5.5,0.0,0.0,0.2727272727272727,1,1.0,0.0,6.245480901351942
блины фдк с творогом,7,норма · фраза,20,4,4.25,0.0,0.0,0.29411764705882354,1,1.0,0.0,6.621617630739934
сыр плавленный,4,норма · удвоенная буква,14,2,6.5,0.0,0.0,0.3076923076923077,2,1.0,0.0,5.9147447369362425
цветы тюльпан,1,норма · 2 слова,13,2,6.0,0.0,0.0,0.3333333333333333,1,1.0,0.0,7.5338058950351545
средство от снятия лака,7,норма · фраза,23,4,5.0,0.0,0.0,0.4,1,1.0,0.0,6.240211978091142
куриные ломтики,5,норма · длинные слова,15,2,7.0,0.0,0.0,0.5,1,1.0,0.0,5.501129841634571
икру,3,норма · 1 слово,4,1,4.0,0.0,0.0,0.5,1,1.0,0.0,6.151702587230269
биг лангустины,5,норма · длинные слова,14,2,6.5,0.0,0.0,0.38461538461538464,1,1.0,0.0,5.909200714459878
iphone 16,8,запрос с числом,9,1,6.0,1.0,0.2222222222222222,0.0,1,1.0,0.0,16.123358179532573
подвязки,3,норма · 1 слово,8,1,8.0,0.0,0.0,0.375,1,1.0,0.0,6.289425268331931
кубики бульоны,5,норма · длинные слова,14,2,6.5,0.0,0.0,0.46153846153846156,1,1.0,0.0,6.106968669553834
броокли,10,искажённое слово · вставки/удвоения,7,1,7.0,0.0,0.0,0.42857142857142855,2,0.0,0.25,6.10559383916151
хрен мари,1,норма · 2 слова,9,2,4.0,0.0,0.0,0.375,1,1.0,0.0,6.540366895237195
клин само,1,норма · 2 слова,9,2,4.0,0.0,0.0,0.375,1,1.0,0.0,5.64699789573087
для посуды syn,1,норма · 2 слова,14,3,4.0,0.25,0.0,0.4444444444444444,1,1.0,0.0,6.132355272481577
пенка дл,9,фраза с искажением,8,2,3.5,0.0,0.0,0.2857142857142857,1,0.5,0.3333333333333333,5.619722825453886
без лакторы,9,фраза с искажением,11,2,5.0,0.0,0.0,0.4,1,0.5,0.14285714285714285,5.872415852222457
шокола,2,искажённое слово,6,1,6.0,0.0,0.0,0.5,1,0.0,0.14285714285714285,5.351417093959817
сухая смесь maggi,4,норма · удвоенная буква,17,3,5.0,0.3333333333333333,0.0,0.4,2,1.0,0.0,6.362983946367916
маринованное м,4,норма · удвоенная буква,14,2,6.5,0.0,0.0,0.46153846153846156,2,1.0,0.0,5.3095723852138645
без коллекция,4,норма · удвоенная буква,13,2,6.0,0.0,0.0,0.4166666666666667,2,1.0,0.0,5.897775913277322
напитки самокат,5,норма · длинные слова,15,2,7.0,0.0,0.0,0.42857142857142855,1,1.0,0.0,5.537160010965427
корне,3,норма · 1 слово,5,1,5.0,0.0,0.0,0.4,1,1.0,0.0,4.978070772785393
вода 5л,8,запрос с числом,7,2,2.5,0.0,0.14285714285714285,0.4,1,1.0,0.0,5.584243364920845
чаю без сахара,1,норма · 2 слова,14,3,4.0,0.0,0.0,0.5,1,1.0,0.0,6.97135635861818
для котлеты,1,норма · 2 слова,11,2,5.0,0.0,0.0,0.4,1,1.0,0.0,5.853598522578591
бананы,3,норма · 1 слово,6,1,6.0,0.0,0.0,0.5,1,1.0,0.0,5.027513433635875
десерт вкусный день,7,норма · фраза,19,3,5.666666666666667,0.0,0.0,0.29411764705882354,1,1.0,0.0,6.068138054203872
дживанши,2,искажённое слово,8,1,8.0,0.0,0.0,0.375,1,0.0,0.375,6.439875635278359
тесто для куличей,7,норма · фраза,17,3,5.0,0.0,0.0,0.4,1,1.0,0.0,5.906864764094665
хай hills,4,норма · удвоенная буква,9,2,4.0,0.625,0.0,0.3333333333333333,2,1.0,0.0,6.244709380910734
hdd,11,латиница · удвоения,3,1,3.0,1.0,0.0,0.0,2,1.0,0.0,16.123358179532573
стиоаль,2,искажённое слово,7,1,7.0,0.0,0.0,0.42857142857142855,1,0.0,0.2857142857142857,6.26311045730019
ice cream,0,латиница,9,2,4.0,1.0,0.0,0.0,1,1.0,0.0,16.123358179532573
агрикола,2,искажённое слово,8,1,8.0,0.0,0.0,0.5,1,0.0,0.25,5.5833436701062125
самокат ассорти,4,норма · удвоенная буква,15,2,7.0,0.0,0.0,0.42857142857142855,2,1.0,0.0,5.413539497862064
сыр козий купить,1,норма · 2 слова,16,3,4.666666666666667,0.0,0.0,0.35714285714285715,1,1.0,0.0,6.397778045685828
истории,4,норма · удвоенная буква,7,1,7.0,0.0,0.0,0.5714285714285714,2,1.0,0.0,5.5986603994193045
plan,0,латиница,4,1,4.0,1.0,0.0,0.0,1,1.0,0.0,16.123358179532573
пельм,2,искажённое слово,5,1,5.0,0.0,0.0,0.2,1,0.0,0.3333333333333333,6.026913656391823
бабл ти с тапиокой,7,норма · фраза,18,4,3.75,0.0,0.0,0.4,1,1.0,0.0,6.08436551756163
сырники⁹,8,запрос с числом,8,1,7.0,0.0,0.125,0.42857142857142855,1,1.0,0.0,5.343319338114722
булка для ьургерп,9,фраза с искажением,17,3,5.0,0.0,0.0,0.3333333333333333,1,0.6666666666666666,0.2857142857142857,7.717249867632574
рулевой,3,норма · 1 слово,7,1,7.0,0.0,0.0,0.42857142857142855,1,1.0,0.0,5.840251046538016
лёд пи,1,норма · 2 слова,6,2,2.5,0.0,0.0,0.4,1,1.0,0.0,7.799315068697594
огурцы свежии,4,норма · удвоенная буква,13,2,6.0,0.0,0.0,0.5,2,0.5,0.14285714285714285,6.697595358209
выленве,2,искажённое слово,7,1,7.0,0.0,0.0,0.42857142857142855,1,0.0,0.2857142857142857,6.287201354732907
tros,0,латиница,4,1,4.0,1.0,0.0,0.0,1,0.0,0.0,16.123358179532573
хлеб зерновой,1,норма · 2 слова,13,2,6.0,0.0,0.0,0.3333333333333333,1,1.0,0.0,6.487656148004236
malle,11,латиница · удвоения,5,1,5.0,1.0,0.0,0.0,2,1.0,0.0,16.123358179532573
батон лу,9,фраза с искажением,8,2,3.5,0.0,0.0,0.42857142857142855,1,0.5,0.3333333333333333,6.843944398753854
лайм,3,норма · 1 слово,4,1,4.0,0.0,0.0,0.25,1,1.0,0.0,6.776476619053321
мартин семи,1,норма · 2 слова,11,2,5.0,0.0,0.0,0.4,1,1.0,0.0,5.581695260429332
носки мужское,1,норма · 2 слова,13,2,6.0,0.0,0.0,0.4166666666666667,1,1.0,0.0,5.6943286707348815
сыр мягий,9,фраза с искажением,9,2,4.0,0.0,0.0,0.375,1,0.5,0.16666666666666666,6.216062715168167
банка под кал,1,норма · 2 слова,13,3,3.6666666666666665,0.0,0.0,0.36363636363636365,1,1.0,0.0,5.760047472574769
мандарины,5,норма · длинные слова,9,1,9.0,0.0,0.0,0.4444444444444444,1,1.0,0.0,5.289645402004192
туалетнаявода,2,искажённое слово,13,1,13.0,0.0,0.0,0.5384615384615384,1,0.0,0.3076923076923077,6.177249898111386
сырассор,10,искажённое слово · вставки/удвоения,8,1,8.0,0.0,0.0,0.375,2,0.0,0.375,5.685343745799409
свечя,2,искажённое слово,5,1,5.0,0.0,0.0,0.4,1,0.0,0.2,7.387521251471564
твблетки,2,искажённое слово,8,1,8.0,0.0,0.0,0.25,1,0.0,0.125,6.3946962283699476
котлеты отто,4,норма · удвоенная буква,12,2,5.5,0.0,0.0,0.45454545454545453,2,1.0,0.0,6.784703326476126
банки для мочи,1,норма · 2 слова,14,3,4.0,0.0,0.0,0.4166666666666667,1,1.0,0.0,5.899846314708006
сухой чесной,9,фраза с искажением,12,2,5.5,0.0,0.0,0.36363636363636365,1,0.5,0.16666666666666666,6.2859966443450785
детское пюре фрукто,7,норма · фраза,19,3,5.666666666666667,0.0,0.0,0.4117647058823529,1,0.6666666666666666,0.14285714285714285,6.270699325701771
говядина тушеная,5,норма · длинные слова,16,2,7.5,0.0,0.0,0.5333333333333333,1,1.0,0.0,5.77830747107262
lancome hypnose,0,латиница,15,2,7.0,1.0,0.0,0.0,1,0.5,0.0,16.123358179532573
lit,0,латиница,3,1,3.0,1.0,0.0,0.0,1,1.0,0.0,16.123358179532573
йогурт гречкскмй,9,фраза с искажением,16,2,7.5,0.0,0.0,0.2,1,0.5,0.2222222222222222,7.974908400689315
ассорти ягодное,4,норма · удвоенная буква,15,2,7.0,0.0,0.0,0.5,2,1.0,0.0,5.7075800759921655
консилер la roche posay,7,норма · фраза,23,4,5.0,0.6,0.0,0.375,1,1.0,0.0,5.698409426634951
ротфронт,2,искажённое слово,8,1,8.0,0.0,0.0,0.25,1,0.0,0.375,6.147628645593578
тушная,2,искажённое слово,6,1,6.0,0.0,0.0,0.5,1,0.0,0.14285714285714285,5.923135042841015
холодец то,1,норма · 2 слова,10,2,4.5,0.0,0.0,0.4444444444444444,1,1.0,0.0,6.658426899654072
пельмени рефрен,5,норма · длинные слова,15,2,7.0,0.0,0.0,0.35714285714285715,1,1.0,0.0,6.058064558866795
санта бри,1,норма · 2 слова,9,2,4.0,0.0,0.0,0.375,1,1.0,0.0,5.724633068456363
monti dew,0,латиница,9,2,4.0,1.0,0.0,0.0,1,0.5,0.0,16.123358179532573
хорошая девочка черная кровь,7,норма · фраза,28,4,6.25,0.0,0.0,0.44,1,1.0,0.0,6.145772985605932
семечки сил,1,норма · 2 слова,11,2,5.0,0.0,0.0,0.4,1,1.0,0.0,6.103626343725517
супчик,3,норма · 1 слово,6,1,6.0,0.0,0.0,0.3333333333333333,1,1.0,0.0,6.234430091419659
апельсины си,1,норма · 2 слова,12,2,5.5,0.0,0.0,0.45454545454545453,1,1.0,0.0,6.182689192873119
текила,3,норма · 1 слово,6,1,6.0,0.0,0.0,0.5,1,1.0,0.0,5.4385962545292
бумага для жар,1,норма · 2 слова,14,3,4.0,0.0,0.0,0.4166666666666667,1,1.0,0.0,6.496234497590641
спрей назал,9,фраза с искажением,11,2,5.0,0.0,0.0,0.3,1,0.5,0.3333333333333333,5.94861796962067
пицца пепе,10,искажённое слово · вставки/удвоения,10,2,4.5,0.0,0.0,0.4444444444444444,2,0.5,0.2,6.300597682925272
лакомство для собак dt,7,норма · фраза,22,4,4.75,0.10526315789473684,0.0,0.35294117647058826,1,1.0,0.0,5.7282903708051105
печенье яшкино,5,норма · длинные слова,14,2,6.5,0.0,0.0,0.46153846153846156,1,1.0,0.0,6.3519531924374295
блин cr,1,норма · 2 слова,7,2,3.0,0.3333333333333333,0.0,0.25,1,1.0,0.0,5.770281232774703
зернотвороденое,2,искажённое слово,15,1,15.0,0.0,0.0,0.4666666666666667,1,0.0,0.4666666666666667,5.342157353834418
яблоки су,1,норма · 2 слова,9,2,4.0,0.0,0.0,0.5,1,1.0,0.0,6.5672805371524285
чёрный,3,норма · 1 слово,6,1,6.0,0.0,0.0,0.3333333333333333,1,1.0,0.0,6.14205132421768
многозлаковый батончик самокат,7,норма · фраза,30,3,9.333333333333334,0.0,0.0,0.39285714285714285,1,1.0,0.0,6.122970387298732
пакеты для мусора,7,норма · фраза,17,3,5.0,0.0,0.0,0.4666666666666667,1,1.0,0.0,6.192969934464264
чудо ро,9,фраза с искажением,7,2,3.0,0.0,0.0,0.5,1,0.5,0.3333333333333333,6.061688081141051
муравьиный домик,5,норма · длинные слова,16,2,7.5,0.0,0.0,0.4,1,1.0,0.0,6.562109866177062
кофе молотое,1,норма · 2 слова,12,2,5.5,0.0,0.0,0.5454545454545454,1,1.0,0.0,5.393720917099828
взрос,3,норма · 1 слово,5,1,5.0,0.0,0.0,0.2,1,1.0,0.0,6.383538026119126
ziegg,11,латиница · удвоения,5,1,5.0,1.0,0.0,0.0,2,0.0,0.0,16.123358179532573
шейный,3,норма · 1 слово,6,1,6.0,0.0,0.0,0.3333333333333333,1,1.0,0.0,5.937014277141499
для окон,1,норма · 2 слова,8,2,3.5,0.0,0.0,0.42857142857142855,1,1.0,0.0,6.546876473313298
блины караваевы,5,норма · длинные слова,15,2,7.0,0.0,0.0,0.5,1,1.0,0.0,6.042442925531314
варенники готовые,4,норма · удвоенная буква,17,2,8.0,0.0,0.0,0.5,2,0.5,0.1111111111111111,5.226778386048943
бизнес ланч,1,норма · 2 слова,11,2,5.0,0.0,0.0,0.3,1,1.0,0.0,6.58369394160221
масло для волос,1,норма · 2 слова,15,3,4.333333333333333,0.0,0.0,0.38461538461538464,1,1.0,0.0,5.8767771167484
уборка,3,норма · 1 слово,6,1,6.0,0.0,0.0,0.5,1,1.0,0.0,5.793380943124396
ножницы для школы,7,норма · фраза,17,3,5.0,0.0,0.0,0.4,1,1.0,0.0,6.430665119995966
редьуол,2,искажённое слово,7,1,7.0,0.0,0.0,0.42857142857142855,1,0.0,0.42857142857142855,8.55309259547597
кадаиф,2,искажённое слово,6,1,6.0,0.0,0.0,0.5,1,0.0,0.42857142857142855,7.173279191495466
туалетная бумага 3 слоя,7,норма · фраза,23,3,6.333333333333333,0.0,0.043478260869565216,0.5263157894736842,1,1.0,0.0,6.298581094699992
яйцатворог,2,искажённое слово,10,1,10.0,0.0,0.0,0.4,1,0.0,0.4,6.3085558357862315
перец чили св,1,норма · 2 слова,13,3,3.6666666666666665,0.0,0.0,0.36363636363636365,1,1.0,0.0,6.985579387661763
от вольчека,9,фраза с искажением,11,2,5.0,0.0,0.0,0.4,1,0.5,0.375,5.817000063179477
средство для сантехники,7,норма · фраза,23,3,7.0,0.0,0.0,0.3333333333333333,1,1.0,0.0,5.777711811763045
средство для очистки труб в пакете,7,норма · фраза,34,6,4.833333333333333,0.0,0.0,0.3448275862068966,1,1.0,0.0,6.4758389616721255
от солнца,1,норма · 2 слова,9,2,4.0,0.0,0.0,0.375,1,1.0,0.0,6.183832814425809
конкильолы,2,искажённое слово,10,1,10.0,0.0,0.0,0.4,1,0.0,0.4,5.892027143186488
для печен,1,норма · 2 слова,9,2,4.0,0.0,0.0,0.375,1,1.0,0.0,6.2812338174931
для животных собак влажный,7,норма · фраза,26,4,5.75,0.0,0.0,0.34782608695652173,1,1.0,0.0,6.229742480270656
паштет агрокомлекс,5,норма · длинные слова,18,2,8.5,0.0,0.0,0.35294117647058826,1,0.5,0.08333333333333333,5.880760624079895
корону,3,норма · 1 слово,6,1,6.0,0.0,0.0,0.5,1,1.0,0.0,5.766104653699321
dove,0,латиница,4,1,4.0,1.0,0.0,0.0,1,1.0,0.0,16.123358179532573
пакеты мусора 60,8,запрос с числом,16,2,6.0,0.0,0.125,0.5,1,1.0,0.0,5.809175157564531
энергетический напиток,5,норма · длинные слова,22,2,10.5,0.0,0.0,0.42857142857142855,1,1.0,0.0,6.10880407722858
фруто няня,9,фраза с искажением,10,2,4.5,0.0,0.0,0.4444444444444444,1,0.5,0.2,6.56877090461356
мороша,2,искажённое слово,6,1,6.0,0.0,0.0,0.5,1,0.0,0.14285714285714285,5.408290959100678
трусы для умеренных,4,норма · удвоенная буква,19,3,5.666666666666667,0.0,0.0,0.4117647058823529,2,1.0,0.0,6.536964882401944
хлеб чер,9,фраза с искажением,8,2,3.5,0.0,0.0,0.2857142857142857,1,0.5,0.3333333333333333,7.033142252593641
швабра,3,норма · 1 слово,6,1,6.0,0.0,0.0,0.3333333333333333,1,1.0,0.0,6.527629657972139
печенье,3,норма · 1 слово,7,1,7.0,0.0,0.0,0.42857142857142855,1,1.0,0.0,5.84305606109349
губка,3,норма · 1 слово,5,1,5.0,0.0,0.0,0.4,1,1.0,0.0,6.056236410506824
клей,3,норма · 1 слово,4,1,4.0,0.0,0.0,0.25,1,1.0,0.0,5.598944803598291
минеральная ессентуки 7,4,норма · удвоенная буква,23,2,10.0,0.0,0.043478260869565216,0.45,2,1.0,0.0,5.85543098640845
hupper,11,латиница · удвоения,6,1,6.0,1.0,0.0,0.0,2,0.0,0.0,16.123358179532573
детское питание для новоро,9,фраза с искажением,26,4,5.75,0.0,0.0,0.4782608695652174,1,0.75,0.42857142857142855,5.466103157903628
лампа е2,8,запрос с числом,8,2,3.0,0.0,0.125,0.5,1,1.0,0.0,6.32363702882265
десерт на 0 калл,4,норма · удвоенная буква,16,3,4.0,0.0,0.0625,0.3333333333333333,2,1.0,0.0,5.751185245686798
свитлогорье догорите,5,норма · длинные слова,20,2,9.5,0.0,0.0,0.42105263157894735,1,1.0,0.0,5.980464268657434
пипетка стеклянная,4,норма · удвоенная буква,18,2,8.5,0.0,0.0,0.4117647058823529,2,1.0,0.0,5.640354498541024
домашний котлеты,5,норма · длинные слова,16,2,7.5,0.0,0.0,0.4,1,1.0,0.0,6.095101087760568
сыр в банке,1,норма · 2 слова,11,3,3.0,0.0,0.0,0.3333333333333333,1,1.0,0.0,6.6617582712185355
"кефир 2,3",8,запрос с числом,9,1,5.0,0.0,0.2222222222222222,0.4,1,1.0,0.0,6.7159337046697205
масло для массажа,4,норма · удвоенная буква,17,3,5.0,0.0,0.0,0.4,2,1.0,0.0,5.92108828830402
цезарь совс,9,фраза с искажением,11,2,5.0,0.0,0.0,0.3,1,0.5,0.25,6.686214441035659
желе в пачке,1,норма · 2 слова,12,3,3.3333333333333335,0.0,0.0,0.4,1,1.0,0.0,6.66039636839593
с грибами,1,норма · 2 слова,9,2,4.0,0.0,0.0,0.375,1,1.0,0.0,6.14004809183068
