query,cluster,type,n_chars,n_tokens,mean_tok_len,frac_latin,frac_digit,frac_vowel,max_char_run,dict_coverage,mean_edit_dist,oddness
тортик,3,норма · 1 слово,6,1,6.0,0.0,0.0,0.3333333333333333,1,1.0,0.0,5.564521080211229
пармезан шо,1,норма · 2 слова,11,2,5.0,0.0,0.0,0.4,1,1.0,0.0,6.183042480445576
флешка компьютерная,5,норма · длинные слова,19,2,9.0,0.0,0.0,0.3888888888888889,1,1.0,0.0,6.393183371612916
сырное отсорти,9,фраза с искажением,14,2,6.5,0.0,0.0,0.46153846153846156,1,0.5,0.2857142857142857,5.876933730199135
солёная рыбка,1,норма · 2 слова,13,2,6.0,0.0,0.0,0.5,1,1.0,0.0,6.027866358427594
укус кускус,1,норма · 2 слова,11,2,5.0,0.0,0.0,0.4,1,1.0,0.0,6.011120574077027
семга круассан,4,норма · удвоенная буква,14,2,6.5,0.0,0.0,0.38461538461538464,2,1.0,0.0,6.387980384641785
твикс,2,искажённое слово,5,1,5.0,0.0,0.0,0.2,1,0.0,0.4,6.113500296195171
мкотч,2,искажённое слово,5,1,5.0,0.0,0.0,0.2,1,0.0,0.3333333333333333,6.9823061062865
индейка,3,норма · 1 слово,7,1,7.0,0.0,0.0,0.42857142857142855,1,1.0,0.0,5.633421752519574
батон южный,1,норма · 2 слова,11,2,5.0,0.0,0.0,0.4,1,1.0,0.0,6.71339847040266
мусс для укладки волос,4,норма · удвоенная буква,22,4,4.75,0.0,0.0,0.3684210526315789,2,1.0,0.0,6.400600247340174
иушка,2,искажённое слово,5,1,5.0,0.0,0.0,0.6,1,0.0,0.2,6.3659436179328095
вода 2 5,8,запрос с числом,8,1,4.0,0.0,0.25,0.5,1,1.0,0.0,5.194275587042186
колбаса орехова,5,норма · длинные слова,15,2,7.0,0.0,0.0,0.5,1,1.0,0.0,5.753171846951623
пластырь для лазаньи,7,норма · фраза,20,3,6.0,0.0,0.0,0.3333333333333333,1,1.0,0.0,6.421098247126509
соки томат,1,норма · 2 слова,10,2,4.5,0.0,0.0,0.4444444444444444,1,1.0,0.0,5.2387444086251
помидоры соленые,5,норма · длинные слова,16,2,7.5,0.0,0.0,0.5333333333333333,1,1.0,0.0,5.517081161927815
croatia,0,латиница,7,1,7.0,1.0,0.0,0.0,1,0.0,0.0,16.123358179532573
курица для салат,1,норма · 2 слова,16,3,4.666666666666667,0.0,0.0,0.42857142857142855,1,1.0,0.0,5.781449951745706
не жирная рыба,1,норма · 2 слова,14,3,4.0,0.0,0.0,0.5,1,1.0,0.0,6.040789330679788
авокадо,3,норма · 1 слово,7,1,7.0,0.0,0.0,0.5714285714285714,1,1.0,0.0,5.850308745763806
масло шоколадное,5,норма · длинные слова,16,2,7.5,0.0,0.0,0.4666666666666667,1,1.0,0.0,5.5745805825990855
капуста кейт,1,норма · 2 слова,12,2,5.5,0.0,0.0,0.36363636363636365,1,1.0,0.0,6.25831321991616
адре,2,искажённое слово,4,1,4.0,0.0,0.0,0.5,1,0.0,0.4,5.993357038367569
чебу,2,искажённое слово,4,1,4.0,0.0,0.0,0.5,1,0.0,0.4,6.720181949619528
котлетын,2,искажённое слово,8,1,8.0,0.0,0.0,0.375,1,0.0,0.125,6.294562192251178
коровка из кореновки,7,норма · фраза,20,3,6.0,0.0,0.0,0.4444444444444444,1,1.0,0.0,5.3594324769178465
слойка,3,норма · 1 слово,6,1,6.0,0.0,0.0,0.3333333333333333,1,1.0,0.0,5.564334730178365
зерна,3,норма · 1 слово,5,1,5.0,0.0,0.0,0.4,1,1.0,0.0,5.620217138751731
рыба коктейль,1,норма · 2 слова,13,2,6.0,0.0,0.0,0.3333333333333333,1,1.0,0.0,6.117383004244744
подушечки коту,5,норма · длинные слова,14,2,6.5,0.0,0.0,0.46153846153846156,1,1.0,0.0,6.027026186100004
шоколадница,5,норма · длинные слова,11,1,11.0,0.0,0.0,0.45454545454545453,1,1.0,0.0,5.750983470483266
ясно,3,норма · 1 слово,4,1,4.0,0.0,0.0,0.5,1,1.0,0.0,6.200621859641584
дубай,3,норма · 1 слово,5,1,5.0,0.0,0.0,0.4,1,1.0,0.0,5.869390247494828
лук репчатый э,1,норма · 2 слова,14,3,4.0,0.0,0.0,0.4166666666666667,1,1.0,0.0,7.4598948651740935
крупа манка,1,норма · 2 слова,11,2,5.0,0.0,0.0,0.4,1,1.0,0.0,5.7553785451084005
ананансовый,2,искажённое слово,11,1,11.0,0.0,0.0,0.45454545454545453,1,0.0,0.09090909090909091,5.36659197061983
чеснокодпвка,2,искажённое слово,12,1,12.0,0.0,0.0,0.3333333333333333,1,0.0,0.3333333333333333,6.612077784243525
пятновыводитель,5,норма · длинные слова,15,1,15.0,0.0,0.0,0.4,1,1.0,0.0,6.164794761216587
сла,2,искажённое слово,3,1,3.0,0.0,0.0,0.3333333333333333,1,0.0,0.25,5.008225290140451
астория,3,норма · 1 слово,7,1,7.0,0.0,0.0,0.5714285714285714,1,1.0,0.0,5.261364078260545
сыр те,1,норма · 2 слова,6,2,2.5,0.0,0.0,0.4,1,1.0,0.0,5.3565301855367276
сады,3,норма · 1 слово,4,1,4.0,0.0,0.0,0.5,1,1.0,0.0,5.424928006227237
оливье глобус,1,норма · 2 слова,13,2,6.0,0.0,0.0,0.4166666666666667,1,1.0,0.0,6.308101657530362
отбивна,2,искажённое слово,7,1,7.0,0.0,0.0,0.42857142857142855,1,0.0,0.375,6.112472589219468
